name,id,from,to,text
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,132,638.34,643.19,_And this is only one way to analyze content of text, but _
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,133,643.19,646.1,it's a very useful ways of analyzing content. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,134,646.1,651.4,It's also one of the most useful techniques in text mining. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,135,653.75,659.51,Then we're going to talk about opinion mining and sentiment analysis. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,136,659.51,665.25,So this can be regarded as one example of mining knowledge about the observer. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,137,667.14,671.51,And finally we're going to cover text-based prediction 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,138,671.51,676.02,problems where we try to predict some real world variable based on text data. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,139,677.4,684.88,So this slide also serves as a road map for this course. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,140,684.88,687.554,And we're going to use this as an outline for 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,141,687.554,690.962,the topics that we'll cover in the rest of this course. 
2 - 2 - 1.2 Overview Text Mining and Analytics- Part 2 (00-11-44).srt,142,690.962,700.962,[MUSIC] 
